SIDO	SGG	EMD_ETC	읍면동명	투표구명	선거인수	투표수	더불어민주당 이재명	국민의힘 윤석열	정의당 심상정	기본소득당 오준호	국가혁명당 허경영	노동당 이백윤	새누리당 옥은호	신자유민주연합 김경재	우리공화당 조원진	진보당 김재연	통일한국당 이경희	한류연합당 김민찬	유효투표수	무효투표수	기권수
강원도	원주시	학성동		학성동제2투	843	400	133	236	13	1	10	1	0	0	0	1	1	1	397	3	443
강원도	원주시	단계동	단계동	소계	22,823	16,553	7,025	8,678	468	8	180	3	3	3	13	22	2	3	16,408	145	6,270
강원도	원주시	단계동		관내사전투표	6,992	6,992	3,244	3,446	194	1	53	1	1	1	2	14	0	1	6,958	34	0
강원도	원주시	단계동		단계동제1투	2,784	1,545	602	859	30	4	15	1	0	0	2	1	0	0	1,514	31	1,239
강원도	원주시	단계동		단계동제2투	3,130	1,939	720	1,090	69	1	32	0	0	1	2	1	1	1	1,918	21	1,191
강원도	원주시	단계동		단계동제3투	3,352	1,983	761	1,111	58	0	23	1	1	0	4	1	0	0	1,960	23	1,369
강원도	원주시	단계동		단계동제4투	1,372	793	269	473	20	0	17	0	1	1	0	4	0	1	786	7	579
강원도	원주시	단계동		단계동제5투	2,794	1,746	716	943	50	2	16	0	0	0	2	0	1	0	1,730	16	1,048
강원도	원주시	단계동		단계동제6투	2,399	1,555	713	756	47	0	24	0	0	0	1	1	0	0	1,542	13	844
강원도	원주시	우산동	우산동	소계	10,943	7,874	3,206	4,280	188	5	104	3	2	2	6	13	3	1	7,813	61	3,069
강원도	원주시	우산동		관내사전투표	3,595	3,595	1,648	1,794	89	3	36	3	2	0	1	4	0	0	3,580	15	0
강원도	원주시	우산동		우산동제1투	2,185	1,233	380	790	31	2	16	0	0	1	0	4	0	0	1,224	9	952
강원도	원주시	우산동		우산동제2투	2,806	1,721	695	933	39	0	18	0	0	1	3	4	2	1	1,696	25	1,085
강원도	원주시	우산동		우산동제3투	2,357	1,325	483	763	29	0	34	0	0	0	2	1	1	0	1,313	12	1,032
강원도	원주시	태장1동	태장1동	소계	8,766	6,368	2,899	3,145	149	2	92	2	1	4	7	13	5	3	6,322	46	2,398
강원도	원주시	태장1동		관내사전투표	3,449	3,449	1,695	1,610	78	1	40	1	1	1	3	5	1	3	3,439	10	0
강원도	원주시	태장1동		태장1동제1투	2,207	1,233	489	655	32	1	27	0	0	2	1	4	2	0	1,213	20	974
강원도	원주시	태장1동		태장1동제2투	3,110	1,686	715	880	39	0	25	1	0	1	3	4	2	0	1,670	16	1,424
강원도	원주시	태장2동	태장2동	소계	19,299	13,407	5,851	6,787	379	9	208	4	2	4	12	17	9	10	13,292	115	5,892
강원도	원주시	태장2동		관내사전투표	5,491	5,490	2,588	2,660	137	3	51	2	2	0	1	8	3	3	5,458	32	1
강원도	원주시	태장2동		태장2동제1투	1,891	954	362	518	31	1	22	0	0	1	2	2	3	2	944	10	937
강원도	원주시	태장2동		태장2동제2투	3,349	2,046	926	997	70	0	31	0	0	0	1	2	0	1	2,028	18	1,303
강원도	원주시	태장2동		태장2동제3투	2,179	1,236	505	658	37	0	16	1	0	0	1	1	2	1	1,222	14	943
