adm_cd(행정경계파일 동이름),대선 득표 데이터 동이름
서울특별시 마포구 성산2동,서울특별시 마포구 성산2동
서울특별시 마포구 상암동,서울특별시 마포구 상암동
서울특별시 양천구 목1동,서울특별시 양천구 목1동
서울특별시 양천구 목2동,서울특별시 양천구 목2동
서울특별시 양천구 목3동,서울특별시 양천구 목3동
서울특별시 양천구 목4동,서울특별시 양천구 목4동
서울특별시 양천구 목5동,서울특별시 양천구 목5동
서울특별시 양천구 신월1동,서울특별시 양천구 신월1동
서울특별시 양천구 신월2동,서울특별시 양천구 신월2동
서울특별시 양천구 신월3동,서울특별시 양천구 신월3동
서울특별시 양천구 신월4동,서울특별시 양천구 신월4동
서울특별시 양천구 신월5동,서울특별시 양천구 신월5동
서울특별시 양천구 신월6동,서울특별시 양천구 신월6동
서울특별시 양천구 신월7동,서울특별시 양천구 신월7동
서울특별시 양천구 신정1동,서울특별시 양천구 신정1동
서울특별시 양천구 신정2동,서울특별시 양천구 신정2동
서울특별시 양천구 신정3동,서울특별시 양천구 신정3동
서울특별시 양천구 신정4동,서울특별시 양천구 신정4동
서울특별시 양천구 신정6동,서울특별시 양천구 신정6동
서울특별시 양천구 신정7동,서울특별시 양천구 신정7동
서울특별시 강서구 염창동,서울특별시 강서구 염창동
서울특별시 강서구 등촌1동,서울특별시 강서구 등촌제1동
서울특별시 강서구 등촌2동,서울특별시 강서구 등촌제2동
서울특별시 강서구 등촌3동,서울특별시 강서구 등촌제3동
서울특별시 강서구 화곡본동,서울특별시 강서구 화곡본동
서울특별시 강서구 화곡1동,서울특별시 강서구 화곡제1동
서울특별시 강서구 화곡2동,서울특별시 강서구 화곡제2동
서울특별시 강서구 화곡3동,서울특별시 강서구 화곡제3동
서울특별시 강서구 화곡4동,서울특별시 강서구 화곡제4동
서울특별시 강서구 화곡6동,서울특별시 강서구 화곡제6동
서울특별시 강서구 화곡8동,서울특별시 강서구 화곡제8동
서울특별시 강서구 우장산동,서울특별시 강서구 우장산동
서울특별시 강서구 가양1동,서울특별시 강서구 가양제1동
서울특별시 강서구 가양2동,서울특별시 강서구 가양제2동
서울특별시 강서구 가양3동,서울특별시 강서구 가양제3동
서울특별시 강서구 발산1동,서울특별시 강서구 발산제1동
서울특별시 강서구 공항동,서울특별시 강서구 공항동
서울특별시 강서구 방화1동,서울특별시 강서구 방화제1동
서울특별시 강서구 방화2동,서울특별시 강서구 방화제2동
서울특별시 강서구 방화3동,서울특별시 강서구 방화제3동
서울특별시 구로구 신도림동,서울특별시 구로구 신도림동
서울특별시 구로구 구로1동,서울특별시 구로구 구로제1동
서울특별시 구로구 구로2동,서울특별시 구로구 구로제2동
서울특별시 구로구 구로3동,서울특별시 구로구 구로제3동
서울특별시 구로구 구로4동,서울특별시 구로구 구로제4동
서울특별시 구로구 구로5동,서울특별시 구로구 구로제5동
서울특별시 구로구 가리봉동,서울특별시 구로구 가리봉동
서울특별시 구로구 고척1동,서울특별시 구로구 고척제1동
서울특별시 구로구 고척2동,서울특별시 구로구 고척제2동
서울특별시 구로구 개봉1동,서울특별시 구로구 개봉제1동
서울특별시 구로구 개봉2동,서울특별시 구로구 개봉제2동
서울특별시 구로구 개봉3동,서울특별시 구로구 개봉제3동
서울특별시 구로구 오류1동,서울특별시 구로구 오류제1동
서울특별시 구로구 오류2동,서울특별시 구로구 오류제2동
서울특별시 구로구 수궁동,서울특별시 구로구 수궁동
서울특별시 금천구 가산동,서울특별시 금천구 가산동
서울특별시 금천구 독산1동,서울특별시 금천구 독산제1동
서울특별시 금천구 독산2동,서울특별시 금천구 독산제2동
서울특별시 금천구 독산3동,서울특별시 금천구 독산제3동
서울특별시 금천구 독산4동,서울특별시 금천구 독산제4동
서울특별시 금천구 시흥1동,서울특별시 금천구 시흥제1동
서울특별시 금천구 시흥2동,서울특별시 금천구 시흥제2동
서울특별시 금천구 시흥3동,서울특별시 금천구 시흥제3동
서울특별시 금천구 시흥4동,서울특별시 금천구 시흥제4동
서울특별시 금천구 시흥5동,서울특별시 금천구 시흥제5동
서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포본동
서울특별시 영등포구 영등포동,서울특별시 영등포구 영등포동
서울특별시 영등포구 여의동,서울특별시 영등포구 여의동
서울특별시 영등포구 당산1동,서울특별시 영등포구 당산제1동
서울특별시 영등포구 당산2동,서울특별시 영등포구 당산제2동
서울특별시 영등포구 도림동,서울특별시 영등포구 도림동
서울특별시 영등포구 문래동,서울특별시 영등포구 문래동
서울특별시 영등포구 양평1동,서울특별시 영등포구 양평제1동
서울특별시 영등포구 양평2동,서울특별시 영등포구 양평제2동
서울특별시 영등포구 신길1동,서울특별시 영등포구 신길제1동
서울특별시 영등포구 신길3동,서울특별시 영등포구 신길제3동
서울특별시 영등포구 신길4동,서울특별시 영등포구 신길제4동
서울특별시 영등포구 신길5동,서울특별시 영등포구 신길제5동
서울특별시 영등포구 신길6동,서울특별시 영등포구 신길제6동
서울특별시 영등포구 신길7동,서울특별시 영등포구 신길제7동
서울특별시 영등포구 대림1동,서울특별시 영등포구 대림제1동
서울특별시 영등포구 대림2동,서울특별시 영등포구 대림제2동
서울특별시 영등포구 대림3동,서울특별시 영등포구 대림제3동
서울특별시 동작구 노량진1동,서울특별시 동작구 노량진제1동
서울특별시 동작구 노량진2동,서울특별시 동작구 노량진제2동
서울특별시 동작구 상도1동,서울특별시 동작구 상도제1동
서울특별시 동작구 상도2동,서울특별시 동작구 상도제2동
서울특별시 동작구 상도3동,서울특별시 동작구 상도제3동
서울특별시 동작구 상도4동,서울특별시 동작구 상도제4동
서울특별시 동작구 흑석동,서울특별시 동작구 흑석동
서울특별시 동작구 사당1동,서울특별시 동작구 사당제1동
